scene,traj_id,method,matched_progress,collision_at_matched_progress,min_clearance_at_matched_progress,distance_normalized_infraction_ratio_at_matched_progress
281bc17764,0,SaferSplat,5.983905673007232e-08,0.0,0.17198701322078705,
281bc17764,0,Ours (ESDF),5.983905673007232e-08,0.0,0.17198701322078705,0.0
281bc17764,0,Ours (Semantic ESDF),5.983905673007232e-08,0.0,0.17198701322078705,0.0
281bc17764,1,SaferSplat,0.30172999181816457,0.0,0.04137512415647507,0.0
281bc17764,1,Ours (ESDF),0.30172999181816457,0.0,0.04112216204404831,0.0
281bc17764,1,Ours (Semantic ESDF),0.30172999181816457,0.0,0.04106638699769974,0.0
281bc17764,2,SaferSplat,3.873756583072243e-08,0.0,0.2849314522743225,
281bc17764,2,Ours (ESDF),3.873756583072243e-08,0.0,0.2849314522743225,0.0
281bc17764,2,Ours (Semantic ESDF),3.873756583072243e-08,0.0,0.2849314522743225,0.0
281bc17764,3,SaferSplat,0.0008103557561756433,0.0,0.18324832737445831,0.0
281bc17764,3,Ours (ESDF),0.0008103557561756433,0.0,0.1826964032649994,0.0
281bc17764,3,Ours (Semantic ESDF),0.0008103557561756433,0.0,0.1826964032649994,0.0
281bc17764,4,SaferSplat,0.10452873665292008,0.0,0.2042427670955658,0.0
281bc17764,4,Ours (ESDF),0.10452873665292008,0.0,0.21052725732326508,0.0
281bc17764,4,Ours (Semantic ESDF),0.10452873665292008,0.0,0.21052725732326508,0.0
281bc17764,5,SaferSplat,0.2920650507317977,1.0,-0.02959522605058737,0.16901550712295793
281bc17764,5,Ours (ESDF),0.2920650507317977,1.0,-0.012741320505738257,0.15227358816532552
281bc17764,5,Ours (Semantic ESDF),0.2920650507317977,1.0,-0.012741320505738257,0.15227358816532552
281bc17764,6,SaferSplat,0.5072693234173529,1.0,-0.029971466302667976,0.34958789871184276
281bc17764,6,Ours (ESDF),0.5072693234173529,0.0,0.012804423719644548,0.0
281bc17764,6,Ours (Semantic ESDF),0.5072693234173529,0.0,0.147376389503479,0.0
281bc17764,7,SaferSplat,0.0011891386907977818,0.0,0.19966572642326355,0.0
281bc17764,7,Ours (ESDF),0.0011891386907977818,0.0,0.19901995480060578,0.0
281bc17764,7,Ours (Semantic ESDF),0.0011891386907977818,0.0,0.19901995480060578,0.0
281bc17764,8,SaferSplat,6.213767742270415e-08,0.0,0.18642695367336273,
281bc17764,8,Ours (ESDF),6.213767742270415e-08,0.0,0.18642695367336273,0.0
281bc17764,8,Ours (Semantic ESDF),6.213767742270415e-08,0.0,0.18642695367336273,0.0
281bc17764,9,SaferSplat,0.19569393729343262,1.0,-0.029793960101669653,0.1930988678652112
281bc17764,9,Ours (ESDF),0.19569393729343262,1.0,-0.02957421328872442,0.29030627121675334
281bc17764,9,Ours (Semantic ESDF),0.19569393729343262,1.0,-0.02957421328872442,0.29030627121675334
281bc17764,10,SaferSplat,0.4642169339530369,0.0,0.02654696747660637,0.0
281bc17764,10,Ours (ESDF),0.4642169339530369,0.0,0.023586501628160478,0.0
281bc17764,10,Ours (Semantic ESDF),0.4642169339530369,0.0,0.023586501628160478,0.0
281bc17764,11,SaferSplat,0.2678268075810697,0.0,0.08373066157102585,0.0
281bc17764,11,Ours (ESDF),0.2678268075810697,0.0,0.07708045214414597,0.0
281bc17764,11,Ours (Semantic ESDF),0.2678268075810697,0.0,0.08601187288761139,0.0
281bc17764,12,SaferSplat,0.2369300061894585,0.0,0.042534389793872834,0.0
281bc17764,12,Ours (ESDF),0.2369300061894585,0.0,0.04343637198209763,0.0
281bc17764,12,Ours (Semantic ESDF),0.2369300061894585,0.0,0.04343637198209763,0.0
281bc17764,13,SaferSplat,0.10299302185917635,0.0,0.02835474282503128,0.0
281bc17764,13,Ours (ESDF),0.10299302185917635,0.0,0.022525594830513,0.0
281bc17764,13,Ours (Semantic ESDF),0.10299302185917635,0.0,0.022525594830513,0.0
281bc17764,14,SaferSplat,1.5865024737692235e-08,0.0,0.18893174946308136,
281bc17764,14,Ours (ESDF),1.5865024737692235e-08,0.0,0.18869473159313202,0.0
281bc17764,14,Ours (Semantic ESDF),1.5865024737692235e-08,0.0,0.18869473159313202,0.0
281bc17764,15,SaferSplat,0.17681110838638717,0.0,0.26991903901100156,0.0
281bc17764,15,Ours (ESDF),0.17681110838638717,0.0,0.30157283067703244,0.0
281bc17764,15,Ours (Semantic ESDF),0.17681110838638717,0.0,0.30157283067703244,0.0
281bc17764,16,SaferSplat,0.36481359224102833,0.0,0.051205718219280244,0.0
281bc17764,16,Ours (ESDF),0.36481359224102833,0.0,0.04468225061893463,0.0
281bc17764,16,Ours (Semantic ESDF),0.36481359224102833,0.0,0.044713125824928285,0.0
281bc17764,17,SaferSplat,3.7880926990043154e-08,0.0,0.18710242331027985,
281bc17764,17,Ours (ESDF),3.7880926990043154e-08,0.0,0.18710242331027985,0.0
281bc17764,17,Ours (Semantic ESDF),3.7880926990043154e-08,0.0,0.18710242331027985,0.0
281bc17764,18,SaferSplat,8.489211677978348e-08,0.0,0.17647820830345154,
281bc17764,18,Ours (ESDF),8.489211677978348e-08,0.0,0.17647820830345154,0.0
281bc17764,18,Ours (Semantic ESDF),8.489211677978348e-08,0.0,0.17647820830345154,0.0
281bc17764,19,SaferSplat,6.289902334537176e-08,0.0,0.19911259531974793,
281bc17764,19,Ours (ESDF),6.289902334537176e-08,0.0,0.19885778546333313,0.0
281bc17764,19,Ours (Semantic ESDF),6.289902334537176e-08,0.0,0.19885778546333313,0.0
281bc17764,20,SaferSplat,0.11943827542649393,0.0,0.35173690438270566,0.0
281bc17764,20,Ours (ESDF),0.11943827542649393,0.0,0.3530216526985168,0.0
281bc17764,20,Ours (Semantic ESDF),0.11943827542649393,0.0,0.3530216526985168,0.0
281bc17764,21,SaferSplat,6.699472923234553e-08,0.0,0.3601199400424957,
281bc17764,21,Ours (ESDF),6.699472923234553e-08,0.0,0.3599283409118652,0.0
281bc17764,21,Ours (Semantic ESDF),6.699472923234553e-08,0.0,0.3599283409118652,0.0
281bc17764,22,SaferSplat,0.5249204816787038,1.0,-0.029488137604203074,0.08259553741527603
